"Участок,ФИО судьи,Адрес,Телефон,Район,""Сотрудник"",Почта"
"1,НИКИТИНА  Татьяна Михайловна,""ул. Садовая, д.55-57, литера А, Санкт-Петербург, 190068 "",""2462631, "",АДМИРАЛТЕЙСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"2,КОМАРОВ  Александр Анатольевич,""ул. Садовая, д.55-57, литера А, Санкт-Петербург,190068 "",""2462632, 2462633"",АДМИРАЛТЕЙСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"3, СЛОНОВА  Елена Александровна ,""ул. Садовая, д.55-57, литера А, Санкт-Петербург,190068 "",""2462634, 2462635"",АДМИРАЛТЕЙСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"4,ЕВДОКИМОВА  Ирина Сергеевна,""ул. Садовая, д.55-57, литера А, Санкт-Петербург,190068 "",""2462637, "",АДМИРАЛТЕЙСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"5,НИКИТЕНКО  София Алексеевна,""наб. Обводного канала, д.132, литера Е,          Санкт-Петербург, 198095 "",""2415127, "",АДМИРАЛТЕЙСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"6,ТКАЧЕНКО  Екатерина Владимировна,""наб. Обводного канала, д.132, литера Е,       Санкт-Петербург, 198095 "",""2415125, 2415124"",АДМИРАЛТЕЙСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"7,БЕСШАПОШНИКОВА Ольга Игоревна ,""наб. Обводного канала, д. 132, литера Е, Санкт-Петербург, 198095 "",""2415156, 2415129"",ЦЕНТРАЛЬНЫЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"8,ЕРМАКОВА  Яна Сергеевна,""наб. Обводного канала, д.132, литера Е,      Санкт-Петербург, 198095 "",""2415121, 2415122"",АДМИРАЛТЕЙСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"9,КРАСНОВА Наталья Евгеньевна,""наб. Обводного канала, д.132, литера Е, Санкт-Петербург, 198095 "",""2415119, 2415146"",АДМИРАЛТЕЙСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
"10,УШАКОВА Ирина Анатольевна ,""наб. Обводного канала, д.132, литера Е, Санкт-Петербург, 198095 "",""2415155, 2415120"",АДМИРАЛТЕЙСКИЙ,Гусева Инна Александровна,guseva@zakon.gov.spb.ru"
